Dataset,Configuration,Buffer_Mode,Threshold_Mode,F1,Accuracy,Precision,Recall,FPR,FNR,Final_Buffer,Final_Threshold
CSE-CIC-IDS-2018,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9812154696132597,0.9886666666666667,0.9888641425389755,0.9736842105263158,0.004789272030651341,0.02631578947368421,30,0.6249999999999999
CSE-CIC-IDS-2018,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.976897689768977,0.986,0.9801324503311258,0.9736842105263158,0.008620689655172414,0.02631578947368421,30,0.5
CSE-CIC-IDS-2018,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9424778761061946,0.9653333333333334,0.9508928571428571,0.9342105263157895,0.0210727969348659,0.06578947368421052,50,0.6549999999999999
CSE-CIC-IDS-2018,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.976897689768977,0.986,0.9801324503311258,0.9736842105263158,0.008620689655172414,0.02631578947368421,20,0.5
CSE-CIC-IDS-2018,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.976897689768977,0.986,0.9801324503311258,0.9736842105263158,0.008620689655172414,0.02631578947368421,50,0.5
CSE-CIC-IDS-2018,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.976897689768977,0.986,0.9801324503311258,0.9736842105263158,0.008620689655172414,0.02631578947368421,100,0.5
CSE-CIC-IDS-2018,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.7479406919275123,0.796,0.5989445910290238,0.9956140350877193,0.29118773946360155,0.0043859649122807015,50,0.3
CSE-CIC-IDS-2018,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.9031556039173013,0.9406666666666667,0.896328293736501,0.9100877192982456,0.04597701149425287,0.08991228070175439,50,0.7
UNSW-NB15,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9889135254988913,0.9933333333333333,1.0,0.9780701754385965,0.0,0.021929824561403508,37,0.6499999999999999
UNSW-NB15,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9911894273127753,0.9946666666666667,0.995575221238938,0.9868421052631579,0.0019157088122605363,0.013157894736842105,45,0.5
UNSW-NB15,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9580573951434879,0.9746666666666667,0.9644444444444444,0.9517543859649122,0.01532567049808429,0.04824561403508772,50,0.6349999999999999
UNSW-NB15,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9911894273127753,0.9946666666666667,0.995575221238938,0.9868421052631579,0.0019157088122605363,0.013157894736842105,20,0.5
UNSW-NB15,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9911894273127753,0.9946666666666667,0.995575221238938,0.9868421052631579,0.0019157088122605363,0.013157894736842105,50,0.5
UNSW-NB15,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9911894273127753,0.9946666666666667,0.995575221238938,0.9868421052631579,0.0019157088122605363,0.013157894736842105,100,0.5
UNSW-NB15,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.7549668874172186,0.8026666666666666,0.6063829787234043,1.0,0.2835249042145594,0.0,50,0.3
UNSW-NB15,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.9152173913043479,0.948,0.9073275862068966,0.9232456140350878,0.04118773946360153,0.07675438596491228,50,0.7
CIC-IDS2017,ASRRL Dynamic (Buffer+Threshold),dynamic,dynamic,0.9844789356984479,0.9906666666666667,0.9955156950672646,0.9736842105263158,0.0019157088122605363,0.02631578947368421,32,0.6849999999999999
CIC-IDS2017,Dynamic Buffer Fixed Threshold,dynamic,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,40,0.5
CIC-IDS2017,Fixed Buffer Dynamic Threshold,fixed,dynamic,0.9428891377379618,0.966,0.9633867276887872,0.9232456140350878,0.01532567049808429,0.07675438596491228,50,0.6249999999999999
CIC-IDS2017,"Fixed Small (buf=20, th=0.5)",fixed,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,20,0.5
CIC-IDS2017,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,50,0.5
CIC-IDS2017,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9789590254706534,0.9873333333333333,0.9888143176733781,0.9692982456140351,0.004789272030651341,0.03070175438596491,100,0.5
CIC-IDS2017,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.7625418060200669,0.8106666666666666,0.6162162162162163,1.0,0.2720306513409962,0.0,50,0.3
CIC-IDS2017,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.8963210702341137,0.938,0.9115646258503401,0.881578947368421,0.03735632183908046,0.11842105263157894,50,0.7
